epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6502.09,0.79025,0.37803,0.89185,0.92701,0.84931,0.91568,0.5412,1.43113,0.62791,1.17562,0.00177651,0.00177651,0.00177651
75,6589.77,0.79061,0.37355,0.89323,0.93003,0.84883,0.91688,0.54043,1.43014,0.62797,1.17547,0.00166149,0.00166149,0.00166149
76,6677.42,0.7762,0.36925,0.88963,0.88835,0.88201,0.91694,0.54186,1.43172,0.62985,1.17771,0.00154982,0.00154982,0.00154982
77,6765,0.77244,0.36652,0.88904,0.89057,0.87978,0.91618,0.54185,1.43245,0.63011,1.17931,0.00144161,0.00144161,0.00144161
78,6852.72,0.77575,0.36901,0.89125,0.89333,0.87692,0.91607,0.54088,1.43126,0.63034,1.18018,0.00133695,0.00133695,0.00133695
79,6940.35,0.76495,0.36184,0.88749,0.89615,0.8692,0.91595,0.54203,1.43021,0.63043,1.18061,0.00123596,0.00123596,0.00123596
80,7027.97,0.76371,0.36411,0.88651,0.9084,0.85812,0.91418,0.54228,1.42886,0.63255,1.18147,0.00113873,0.00113873,0.00113873
81,7115.74,0.75812,0.35672,0.88385,0.91477,0.85402,0.91442,0.54259,1.42831,0.6323,1.18174,0.00104537,0.00104537,0.00104537
82,7203.55,0.75062,0.35418,0.88322,0.88481,0.88462,0.91462,0.5424,1.42771,0.63211,1.18226,0.000955951,0.000955951,0.000955951
83,7291.18,0.75,0.35738,0.88263,0.88636,0.88325,0.91499,0.54443,1.42701,0.63383,1.18293,0.000870577,0.000870577,0.000870577
84,7378.91,0.7411,0.35202,0.88105,0.8864,0.88465,0.91559,0.54439,1.4251,0.63346,1.18277,0.000789327,0.000789327,0.000789327
85,7466.55,0.74202,0.35031,0.87959,0.89632,0.87793,0.91534,0.54385,1.42347,0.63308,1.18287,0.000712282,0.000712282,0.000712282
86,7554.37,0.73805,0.34776,0.87732,0.89797,0.87573,0.9148,0.54374,1.42354,0.63429,1.18332,0.000639518,0.000639518,0.000639518
87,7642.06,0.73843,0.34862,0.87941,0.89825,0.8768,0.91611,0.54326,1.42405,0.63477,1.18362,0.000571106,0.000571106,0.000571106
88,7729.71,0.73515,0.34624,0.87869,0.89931,0.87754,0.91614,0.54343,1.4237,0.63637,1.18383,0.000507115,0.000507115,0.000507115
89,7817.33,0.72874,0.34576,0.87443,0.89998,0.8778,0.91605,0.54288,1.42365,0.63762,1.18443,0.000447606,0.000447606,0.000447606
90,7905.2,0.72989,0.34465,0.87861,0.89997,0.87792,0.91565,0.54323,1.42408,0.63785,1.18494,0.00039264,0.00039264,0.00039264
91,7993.34,0.69188,0.31211,0.86556,0.8976,0.87874,0.91354,0.544,1.42423,0.63828,1.18531,0.00034227,0.00034227,0.00034227
92,8080.65,0.68399,0.30652,0.86465,0.89587,0.87656,0.91399,0.54525,1.42443,0.63973,1.1854,0.000296546,0.000296546,0.000296546
93,8168.07,0.67722,0.30562,0.86056,0.89345,0.87724,0.91397,0.54508,1.42482,0.63987,1.18543,0.000255513,0.000255513,0.000255513
94,8255.56,0.677,0.30284,0.86097,0.8913,0.87699,0.9138,0.54541,1.42475,0.63997,1.18574,0.000219212,0.000219212,0.000219212
95,8343.12,0.67349,0.30134,0.86028,0.88816,0.87922,0.91403,0.54597,1.42485,0.64043,1.18579,0.000187678,0.000187678,0.000187678
96,8430.47,0.67205,0.30186,0.85686,0.8864,0.88149,0.91414,0.54619,1.42462,0.64076,1.18572,0.000160943,0.000160943,0.000160943
97,8517.8,0.67042,0.30087,0.85744,0.88658,0.88202,0.91476,0.54607,1.42448,0.64106,1.18592,0.000139032,0.000139032,0.000139032
98,8605.27,0.66719,0.29726,0.85729,0.88613,0.88403,0.91487,0.54611,1.42412,0.64114,1.18617,0.000121968,0.000121968,0.000121968
99,8692.74,0.66882,0.29956,0.85881,0.88583,0.88436,0.91459,0.54638,1.42328,0.64032,1.18594,0.000109768,0.000109768,0.000109768
100,8780.11,0.66479,0.29772,0.85479,0.88543,0.88484,0.91474,0.54662,1.4232,0.64092,1.18602,0.000102443,0.000102443,0.000102443
